name,office_full,party_full,state,district,candidate_id
FONTAINE BERNARD ARTHUR,House,REPUBLICAN PARTY,GA,9,H4GA09065
NORWOOD CHARLIE,House,REPUBLICAN PARTY,GA,10,H4GA10022
"JACKSON WILLIAM S ""BILL"" SR",House,REPUBLICAN PARTY,GA,10,H4GA10030
SHELDON DONNA HORTMAN,House,REPUBLICAN PARTY,GA,10,H4GA10055
GERRARD GARY,House,REPUBLICAN PARTY,GA,10,H4GA10063
COLLINS MICHAEL A JR,House,REPUBLICAN PARTY,GA,10,H4GA10071
DIOUS IVORY KENNETH,House,DEMOCRATIC PARTY,GA,10,H4GA10089
SLOWINSKI BRIAN RICHARD,House,REPUBLICAN PARTY,GA,10,H4GA10097
SWAN S MITCHELL,House,REPUBLICAN PARTY,GA,10,H4GA10105
DAVIS ANNETTE,House,REPUBLICAN PARTY,GA,4,H4GA11020
CRAWFORD JAMES R (RICK),House,DEMOCRATIC PARTY,GA,11,H4GA11038
BARR BOB,House,REPUBLICAN PARTY,GA,11,H4GA11053
LOUDERMILK BARRY,House,REPUBLICAN PARTY,GA,11,H4GA11061
LINDSEY EDWARD H JR,House,REPUBLICAN PARTY,GA,11,H4GA11079
PRIDEMORE TRICIA,House,REPUBLICAN PARTY,GA,11,H4GA11087
MROZINSKI LARRY,House,REPUBLICAN PARTY,GA,11,H4GA11095
COLLINS HAYDEN THOMAS JR,House,REPUBLICAN PARTY,GA,11,H4GA11103
BARROW JOHN J.,House,DEMOCRATIC PARTY,GA,12,H4GA12010
HAINES DOUGLAS P,House,DEMOCRATIC PARTY,GA,12,H4GA12028
CORTELLINO CAINE,House,DEMOCRATIC PARTY,GA,12,H4GA12036
DUTTON DELVIS WILLIAM,House,REPUBLICAN PARTY,GA,12,H4GA12044
YU EUGENE CHIN MR.,House,REPUBLICAN PARTY,GA,4,H4GA12051
JONES RASHAAD,House,DEMOCRATIC PARTY,GA,12,H4GA12077
JOHNSON ELIZABETH LIZ,House,DEMOCRATIC PARTY,GA,12,H4GA12085
OWENS MICHAEL CLAUDE,House,DEMOCRATIC PARTY,GA,13,H4GA13034
HERRON KENNETH LEON SR,House,REPUBLICAN PARTY,GA,14,H4GA14016
BRYANT BART ALEXANDER MR,House,DEMOCRATIC PARTY,GA,14,H4GA14032
CASH TAMBREI,House,DEMOCRATIC PARTY,GA,14,H4GA14040
HARRIS SHAWN,House,DEMOCRATIC PARTY,GA,14,H4GA14057
LEIGH JOSEPH,House,DEMOCRATIC PARTY,GA,14,H4GA14065
HOUSTON DERIC,House,DEMOCRATIC PARTY,GA,14,H4GA14081
METCALFE MARGARET,House,REPUBLICAN PARTY,GU,0,H4GU00021
BEARD WILLARD FREDERICK,House,REPUBLICAN PARTY,HI,1,H4HI01019
SWINDLE ORSON G III,House,REPUBLICAN PARTY,HI,1,H4HI01035
NAKASATO DENNIS MASARU,House,DEMOCRATIC PARTY,HI,1,H4HI01043
TANONAKA DALTON ICHIRO,House,REPUBLICAN PARTY,HI,1,H4HI01076
CHANG STANLEY,House,DEMOCRATIC PARTY,HI,1,H4HI01100
ANDERSON IKAIKA,House,DEMOCRATIC PARTY,HI,1,H4HI01118
ESPERO WILLIAM,House,DEMOCRATIC PARTY,HI,1,H4HI01126
TAKAI KYLE MARK,House,DEMOCRATIC PARTY,HI,1,H4HI01134
XIAN KATHRYN,House,DEMOCRATIC PARTY,HI,1,H4HI01142
KIM DONNA MERCADO,House,DEMOCRATIC PARTY,HI,1,H4HI01167
MANAHAN JOEY,House,DEMOCRATIC PARTY,HI,1,H4HI01175
WASHBURN PAMELA S,House,DEMOCRATIC PARTY,HI,2,H4HI02017
RAHMAN INAM,House,REPUBLICAN PARTY,HI,2,H4HI02066
SHIRATORI MILES,House,DEMOCRATIC PARTY,HI,2,H4HI02082
READY KEVIN EARL,House,DEMOCRATIC PARTY,IA,1,H4IA01010
WINEKAUF GLEN,House,DEMOCRATIC PARTY,IA,1,H4IA01028
CUDDEHE MICHAEL J,House,NATURAL LAW PARTY,IA,1,H4IA01044
MURPHY PATRICK,House,DEMOCRATIC PARTY,IA,1,H4IA01069
VERNON MONICA W,House,DEMOCRATIC PARTY,IA,1,H4IA01077
O'BRIEN DAVID A,House,DEMOCRATIC PARTY,IA,1,H4IA01085
DANDEKAR SWATI ARVIND,House,DEMOCRATIC PARTY,IA,1,H4IA01093
KAJTAZOVIC ANESA,House,DEMOCRATIC PARTY,IA,1,H4IA01101
ROGERS WALT,House,REPUBLICAN PARTY,IA,1,H4IA01119
KOPEL MERLE L,House,DEMOCRATIC PARTY,IA,2,H4IA02018
WELSH JOSEPH JOHN,House,DEMOCRATIC PARTY,IA,2,H4IA02026
FRANKER DAVID WILLIAM,House,DEMOCRATIC PARTY,IA,2,H4IA02034
LOFGREN MARK S,House,REPUBLICAN PARTY,IA,2,H4IA02042
WALDREN MATTHEW C,House,REPUBLICAN PARTY,IA,2,H4IA02059
ALBERTSON-CORKERY SARAH ELAINE,House,DEMOCRATIC PARTY,IA,2,H4IA02067
JOHNSTON JOSEPH CHRISTIAN,House,DEMOCRATIC PARTY,IA,3,H4IA03016
WALSHIRE LARRY PAUL,House,DEMOCRATIC PARTY,IA,3,H4IA03032
SHERZAN MICHAEL THOMAS,House,DEMOCRATIC PARTY,IA,3,H4IA03057
APPEL STACI,House,DEMOCRATIC PARTY,IA,3,H4IA03065
SCHULTZ MATTHEW DAVID,House,REPUBLICAN PARTY,IA,3,H4IA03081
CRAMER ROBERT JAMES,House,REPUBLICAN PARTY,IA,3,H4IA03099
SHAW MONTE,House,REPUBLICAN PARTY,IA,3,H4IA03107
YOUNG DAVID,House,REPUBLICAN PARTY,IA,3,H4IA03115
WRIGHT EDWARD BENEDICT,House,LIBERTARIAN PARTY,IA,3,H4IA03131
VINE MELISSA,House,DEMOCRATIC PARTY,IA,3,H4IA03164
BACCAM LANON,House,DEMOCRATIC PARTY,IA,3,H4IA03172
EYCHANER RICHARD CARL,House,REPUBLICAN PARTY,IA,4,H4IA04014
VANDER MEY RICHARD R,House,REPUBLICAN PARTY,IA,4,H4IA04022
LOCKARD ROBERT RAY,House,REPUBLICAN PARTY,IA,4,H4IA04030
GANSKE JOHN GREG,House,REPUBLICAN PARTY,IA,4,H4IA04048
IRWIN L JAY III,House,REPUBLICAN PARTY,IA,4,H4IA04055
LAUTERS LAWRENCE J,House,DEMOCRATIC PARTY,IA,4,H4IA04063
SCHULZE STEVEN BURTON,House,DEMOCRATIC PARTY,IA,4,H4IA04097
JOHNSON PAUL W.,House,DEMOCRATIC PARTY,IA,4,H4IA04105
MOWRER JIM,House,DEMOCRATIC PARTY,IA,3,H4IA04113
DAVITT PHILIP A,House,DEMOCRATIC PARTY,IA,5,H4IA05011
REEL WARD FLETCHER,House,REPUBLICAN PARTY,IA,5,H4IA05029
BLOBAUM ROGER,House,DEMOCRATIC PARTY,IA,5,H4IA05037
FITZGERALD JEROME D,House,DEMOCRATIC PARTY,IA,5,H4IA05052
REDMAN DICK,House,REPUBLICAN PARTY,IA,5,H4IA05060
HALL THOMAS D,House,REPUBLICAN PARTY,IA,5,H4IA05086
LATHAM THOMAS,House,REPUBLICAN PARTY,IA,3,H4IA05102
PETERSON MICHAEL K,House,DEMOCRATIC PARTY,IA,5,H4IA05110
DAHL PAUL ELLIOTT,House,DEMOCRATIC PARTY,IA,5,H4IA05128
MCGUIRE SHEILA M,House,DEMOCRATIC PARTY,IA,5,H4IA05136
BANKS BRADLY CARTER,House,REPUBLICAN PARTY,IA,5,H4IA05144
SCHULTE E. JOYCE,House,DEMOCRATIC PARTY,IA,5,H4IA05169
BLANSHAN EUGENE,House,DEMOCRATIC PARTY,IA,5,H4IA05177
RENSINK DARREL WAYNE,House,REPUBLICAN PARTY,IA,6,H4IA06019
DE YOUNG GARRY,House,DEMOCRATIC PARTY,IA,6,H4IA06027
FLANNEGAN MICHAEL FRANCIS,House,DEMOCRATIC PARTY,IA,6,H4IA06035
HELLAR WILLIAM RICHARD (BILL),House,DEMOCRATIC PARTY,ID,1,H4ID01024
CHENOWETH HELEN P,House,REPUBLICAN PARTY,ID,1,H4ID01032
MCMURRAY RON,House,REPUBLICAN PARTY,ID,1,H4ID01057
LEROY DAVID H,House,REPUBLICAN PARTY,ID,1,H4ID01065
PRESTON NAOMI,House,DEMOCRATIC PARTY,ID,1,H4ID01073
RINGO SHIRLEY G,House,DEMOCRATIC PARTY,ID,1,H4ID01081
PETERSON KAYLEE JADE,House,DEMOCRATIC PARTY,ID,1,H4ID01131
ADAMSON DANNIS MARLON,House,REPUBLICAN PARTY,ID,2,H4ID02014
SUMMA CHARLES EUGENE,House,,ID,2,H4ID02022
FLETCHER PENNY,House,DEMOCRATIC PARTY,ID,2,H4ID02030
WHITWORTH ARTHUR LIN,House,DEMOCRATIC PARTY,ID,2,H4ID02055
SMITH BRYAN,House,REPUBLICAN PARTY,ID,2,H4ID02063
ROTH DAVID,House,DEMOCRATIC PARTY,ID,2,H4ID02089
GRIMM KRISTA MARIE,House,INDEPENDENT,IL,0,H4IL00024
OLSEN RANDALL WAYNE,House,DEMOCRATIC PARTY,IL,16,H4IL00032
"PALMER LUTRELLE F ""LU""",House,DEMOCRATIC PARTY,IL,1,H4IL01014
HAYES CHARLES A,House,DEMOCRATIC PARTY,IL,1,H4IL01022
BULLOCK LARRY S,House,DEMOCRATIC PARTY,IL,1,H4IL01030
CHEW CHARLES,House,DEMOCRATIC PARTY,IL,1,H4IL01048
RABY AL,House,DEMOCRATIC PARTY,IL,1,H4IL01055
PREACELY DIANE,House,REPUBLICAN PARTY,IL,1,H4IL01089
HUMES MARIAN,House,DEMOCRATIC PARTY,IL,1,H4IL01113
KELLY WILLIAM J,House,REPUBLICAN PARTY,IL,1,H4IL01212
DAVIS LEON,House,DEMOCRATIC PARTY,IL,2,H4IL02012
CASTRO RAYMOND,House,DEMOCRATIC PARTY,IL,2,H4IL02020
DAWSON GLENN V,House,DEMOCRATIC PARTY,IL,2,H4IL02038
JONES EMIL JR,House,DEMOCRATIC PARTY,IL,2,H4IL02046
TAYLOR JAMES C,House,DEMOCRATIC PARTY,IL,2,H4IL02061
HARMAN DALE F,House,REPUBLICAN PARTY,IL,2,H4IL02079
"SHAW WILLIAM ""BILL""",House,DEMOCRATIC PARTY,IL,2,H4IL02087
STREETER ALLAN,House,INDEPENDENT,IL,2,H4IL02103
HARRIS NAPOLEON B III,House,DEMOCRATIC PARTY,IL,2,H4IL02152
BEALE ANTHONY A,House,DEMOCRATIC PARTY,IL,2,H4IL02178
WASHINGTON JOYCE,House,DEMOCRATIC PARTY,IL,2,H4IL02186
BRUTUS O. PATRICK,House,DEMOCRATIC PARTY,IL,1,H4IL02269
MCKINLEY PAUL,House,REPUBLICAN PARTY,IL,2,H4IL02293
WALLACE ERIC M.,House,REPUBLICAN PARTY,IL,2,H4IL02301
OKSAS CASIMIR G (CASEY),House,REPUBLICAN PARTY,IL,3,H4IL03010
JONES ARTHUR JOSEPH,House,REPUBLICAN PARTY,IL,3,H4IL03028
MURPHY RICHARD D.,House,REPUBLICAN PARTY,IL,1,H4IL03036
"NALEPA JAMES T ""JIM""",House,REPUBLICAN PARTY,IL,3,H4IL03044
LIPINSKI DANIEL WILLIAM WILLIAM,House,DEMOCRATIC PARTY,IL,3,H4IL03077
BRANNIGAN SHARON M,House,REPUBLICAN PARTY,IL,3,H4IL03093
BAKER STEVE (AKA) STEVE PIEKARCZYK,House,REPUBLICAN PARTY,IL,4,H4IL04034
VALTIERRA STEVEN,House,REPUBLICAN PARTY,IL,4,H4IL04042
PIEKARCZYK STEVE,House,REPUBLICAN PARTY,IL,4,H4IL04075
EIDENBERG ALEXANDRA CATHERINE,House,DEMOCRATIC PARTY,IL,4,H4IL04083
BLAGOJEVICH ROD,House,DEMOCRATIC PARTY,IL,5,H4IL05031
KASZAK NANCY,House,DEMOCRATIC PARTY,IL,5,H4IL05056
CULLERTON JOHN J,House,DEMOCRATIC PARTY,IL,5,H4IL05064
FLANAGAN MICHAEL PATRICK,House,REPUBLICAN PARTY,IL,5,H4IL05114
PARKER JAMES S,House,REPUBLICAN PARTY,IL,5,H4IL05122
WOZNICZKA DANIEL,House,DEMOCRATIC PARTY,IL,5,H4IL05163
RENSHAW ROBERT HARRIS,House,DEMOCRATIC PARTY,IL,6,H4IL06013
BERRY TOM,House,DEMOCRATIC PARTY,IL,6,H4IL06039
CEGELIS CHRISTINE,House,DEMOCRATIC PARTY,IL,6,H4IL06096
AHMAD MAHNOOR,House,DEMOCRATIC PARTY,IL,6,H4IL06120
WILSON JERALD,House,INDEPENDENT,IL,7,H4IL07011
GOMEZ JOSEPH,House,DEMOCRATIC PARTY,IL,7,H4IL07029
DAVIS DANNY K. MR.,House,DEMOCRATIC PARTY,IL,7,H4IL07037
MONROE E DENARDO,House,DEMOCRATIC PARTY,IL,7,H4IL07045
BEVEL JAMES LUTHER,House,REPUBLICAN PARTY,IL,7,H4IL07060
SASKA LARRY,House,UNKNOWN,IL,11,H4IL07078
SMITH ED H.,House,DEMOCRATIC PARTY,IL,7,H4IL07086
RIVKIN-CAROTHERS ANITA,House,DEMOCRATIC PARTY,IL,7,H4IL07110
DAVIS-FAIRMAN ANTONIO TYRONE,House,REPUBLICAN PARTY,IL,7,H4IL07136
CONYEARS-ERVIN MELISSA,House,DEMOCRATIC PARTY,IL,7,H4IL07177
BHATIA NIKHIL,House,DEMOCRATIC PARTY,IL,7,H4IL07193
MARSHALL KOURI MR.,House,DEMOCRATIC PARTY,IL,7,H4IL07201
SVENSON JUDITH MCCRACKEN,House,REPUBLICAN PARTY,IL,8,H4IL08035
FITZGERALD PETER G,House,REPUBLICAN PARTY,IL,8,H4IL08043
HUFF DON,House,REPUBLICAN PARTY,IL,8,H4IL08050
STRELKA MICHAEL,House,DEMOCRATIC PARTY,IL,8,H4IL08068
WALBERG ROBERT C,House,DEMOCRATIC PARTY,IL,8,H4IL08076
HAMMES RICHARD GEORGE,House,DEMOCRATIC PARTY,IL,8,H4IL08084
SCHEURER WILLIAM CURT,House,GREEN PARTY,IL,8,H4IL08092
PHELPS DAVID W,House,REPUBLICAN PARTY,IL,8,H4IL08100
GOEL MANJU,House,REPUBLICAN PARTY,IL,8,H4IL08118
KAIFESH LAWRENCE JOSEPH,House,REPUBLICAN PARTY,IL,8,H4IL08126
RICE MARK,House,REPUBLICAN PARTY,IL,8,H4IL08159
SOHN HERBERT MD JD,House,REPUBLICAN PARTY,IL,9,H4IL09017
GARDNER FRANK EDWARD,House,DEMOCRATIC PARTY,IL,9,H4IL09041
JOYCE LAWRENCE JOSEPH,House,REPUBLICAN PARTY,IL,9,H4IL09058
ECKHARDT KURT J,House,REPUBLICAN PARTY,IL,9,H4IL09066
WILLIAMS DAVID EARL III,House,INDEPENDENT,IL,9,H4IL09074
BRAVER RUTH CECILE,House,DEMOCRATIC PARTY,IL,10,H4IL10015
KRUPP ANDREW M,House,DEMOCRATIC PARTY,IL,10,H4IL10031
GOODMAN LEE,House,DEMOCRATIC PARTY,IL,10,H4IL10056
CARRIS JIM,House,REPUBLICAN PARTY,IL,10,H4IL10098
GRUTZMACHER WILLIAM J,House,REPUBLICAN PARTY,IL,11,H4IL11013
THEUSCH CHARLES JOSEPH,House,REPUBLICAN PARTY,IL,11,H4IL11021
SCHMITT DANIEL,House,REPUBLICAN PARTY,IL,5,H4IL11047
BALANOFF CLEM,House,DEMOCRATIC PARTY,IL,11,H4IL11062
SULLIVAN PETE,House,DEMOCRATIC PARTY,IL,16,H4IL11070
GIGLIO FRANK,House,DEMOCRATIC PARTY,IL,11,H4IL11088
WELLER GERALD C JERRY,House,REPUBLICAN PARTY,IL,11,H4IL11096
NEAL DAVID W,House,DEMOCRATIC PARTY,IL,11,H4IL11104
"TOMCZAK JEFFERY J ""JEFF""",House,REPUBLICAN PARTY,IL,11,H4IL11112
BUCHANAN JOHN RAYMOND,House,DEMOCRATIC PARTY,IL,11,H4IL11138
GLEASON MARTY,House,DEMOCRATIC PARTY,IL,11,H4IL11146
KENNEDY DANIEL L.,House,DEMOCRATIC PARTY,IL,11,H4IL11153
LEINENWEBER JOHN DUNN,House,REPUBLICAN PARTY,IL,11,H4IL11179
RENNER TARI,House,DEMOCRATIC PARTY,IL,11,H4IL11187
SENGER DARLENE,House,REPUBLICAN PARTY,IL,11,H4IL11195
BALKEMA CHRIS,House,REPUBLICAN PARTY,IL,11,H4IL11203
BAYNE IAN L,House,REPUBLICAN PARTY,IL,11,H4IL11211
ROBBINS CRAIG,House,REPUBLICAN PARTY,IL,11,H4IL11229
MILLER ALBERT,House,REPUBLICAN PARTY,IL,11,H4IL11237
KIM CHARLES,House,REPUBLICAN PARTY,IL,14,H4IL11245
RASHID QASIM,House,DEMOCRATIC PARTY,IL,11,H4IL11260
LA FLAMME EDWARD J,House,DEMOCRATIC PARTY,IL,12,H4IL12011
MORRIS JAN,House,REPUBLICAN PARTY,IL,12,H4IL12029
WETZEL LARRY RICHARD,House,REPUBLICAN PARTY,IL,12,H4IL12037
ZWEIGART ERIN RENEE,House,REPUBLICAN PARTY,IL,12,H4IL12045
BOST MICHAEL,House,REPUBLICAN PARTY,IL,12,H4IL12060
BAILEY DARREN,House,REPUBLICAN PARTY,IL,12,H4IL12078
FAWELL THOMAS WILLIAM,House,REPUBLICAN PARTY,IL,13,H4IL13019
KOPITKE KYLE KENLEY,House,REPUBLICAN PARTY,IL,13,H4IL13027
HUDSON GEORGE RAYMOND,House,REPUBLICAN PARTY,IL,13,H4IL13035
FAWELL HARRIS W,House,REPUBLICAN PARTY,IL,13,H4IL13043
NELSON DIANA,House,REPUBLICAN PARTY,IL,13,H4IL13050
JORDAN TERRENCE MICHAEL,House,REPUBLICAN PARTY,IL,13,H4IL13068
DONOHUE MICHAEL JOSEPH,House,DEMOCRATIC PARTY,IL,13,H4IL13084
SNYDER WILLIAM M JR,House,REPUBLICAN PARTY,IL,13,H4IL13100
ANDERSEN GLORIA SCHOR,House,DEMOCRATIC PARTY,IL,13,H4IL13159
CALLIS ANN,House,DEMOCRATIC PARTY,IL,13,H4IL13175
HAROLD ERIKA NATALI LOUISE,House,REPUBLICAN PARTY,IL,13,H4IL13191
GOLLIN GEORGE,House,DEMOCRATIC PARTY,IL,13,H4IL13209
GREEN DAVID LEE,House,DEMOCRATIC PARTY,IL,13,H4IL13217
LOYD JOSHUA,House,REPUBLICAN PARTY,IL,13,H4IL13241
CLATTERBUCK THOMAS,House,REPUBLICAN PARTY,IL,13,H4IL13258
VERBIC RICHARD L,House,REPUBLICAN PARTY,IL,14,H4IL14017
JOHNSON THOMAS LEE,House,REPUBLICAN PARTY,IL,14,H4IL14025
GROTBERG JOHN E,House,REPUBLICAN PARTY,IL,14,H4IL14033
"CUNNINGHAM JOHN A ""JACK""",House,REPUBLICAN PARTY,IL,11,H4IL14041
SPARROW GREGORY B,House,DEMOCRATIC PARTY,IL,14,H4IL14058
DENARI STEVE,House,DEMOCRATIC PARTY,IL,14,H4IL14082
ZAMORA RUBEN K,House,DEMOCRATIC PARTY,IL,14,H4IL14108
LEIV MATTHEW,House,REPUBLICAN PARTY,IL,14,H4IL14140
HOFFMANN JOHN MICHAEL,House,DEMOCRATIC PARTY,IL,15,H4IL15014
FREZEK LARRY J,House,DEMOCRATIC PARTY,IL,15,H4IL15022
ALEXANDER PAUL,House,DEMOCRATIC PARTY,IL,15,H4IL15030
GILL DAVID MICHAEL,House,DEMOCRATIC PARTY,IL,13,H4IL15055
THORSLAND ERIC LEE,House,DEMOCRATIC PARTY,IL,15,H4IL15071
BOHNSACK KENNETH F,House,REPUBLICAN PARTY,IL,16,H4IL16012
HALE JR DAVID JERRY,House,REPUBLICAN PARTY,IL,16,H4IL16020
MICHALSKI JACK,House,REPUBLICAN PARTY,IL,17,H4IL17010
LEE DAN,House,REPUBLICAN PARTY,IL,17,H4IL17028
ANDERSON JIM,House,REPUBLICAN PARTY,IL,17,H4IL17036
VOLLRATH KEITH G,House,REPUBLICAN PARTY,IL,17,H4IL17044
ZINGA ANDREA,House,REPUBLICAN PARTY,IL,17,H4IL17069
FAWELL WILLIAM W,House,REPUBLICAN PARTY,IL,17,H4IL17077
ESTRADA RAFAEL,House,REPUBLICAN PARTY,IL,17,H4IL17085
CROWL SCOT ALAN MR.,House,REPUBLICAN PARTY,IL,17,H4IL17093
MCGRAW JOE,House,REPUBLICAN PARTY,IL,17,H4IL17101
BRADLEY GERALD A,House,DEMOCRATIC PARTY,IL,15,H4IL18018
"HOWARD TIMOTHY J ""TIM""",House,DEMOCRATIC PARTY,IL,18,H4IL18042
HOMER THOMAS J,House,DEMOCRATIC PARTY,IL,18,H4IL18067
HIGGINS DENNIS LEE,House,REPUBLICAN PARTY,IL,18,H4IL18075
KOEHLER JUDY,House,REPUBLICAN PARTY,IL,18,H4IL18083
WATERWORTH STEVE,House,DEMOCRATIC PARTY,IL,18,H4IL18091
MELLON ROB,House,DEMOCRATIC PARTY,IL,18,H4IL18109
MILLER DARREL,House,DEMOCRATIC PARTY,IL,18,H4IL18117
JAKOBSSON ERIC,House,DEMOCRATIC PARTY,IL,19,H4IL19016
LINDLEY TOM,House,DEMOCRATIC PARTY,IL,19,H4IL19024
BRUCE TERRY L,House,DEMOCRATIC PARTY,IL,19,H4IL19032
COFFEY MAX E,House,REPUBLICAN PARTY,IL,19,H4IL19040
WINTERS BRENT,House,REPUBLICAN PARTY,IL,19,H4IL19065
BAGWELL TIMOTHY CLARKE,House,DEMOCRATIC PARTY,IL,19,H4IL19073
AUSTIN RICHARD G,House,REPUBLICAN PARTY,IL,20,H4IL20014
WIDMAR LOUIS K,House,DEMOCRATIC PARTY,IL,20,H4IL20022
OWENS BILL,House,REPUBLICAN PARTY,IL,20,H4IL20030
BUZBEE KENNETH VON,House,DEMOCRATIC PARTY,IL,22,H4IL22010
GRAY KENNETH J,House,DEMOCRATIC PARTY,IL,22,H4IL22044
PATCHETT JOHN RANDALL,House,REPUBLICAN PARTY,IL,22,H4IL22051
PARRA MARIA M,House,DEMOCRATIC PARTY,IN,3,H4IN00014
VISCLOSKY PETER J.,House,DEMOCRATIC PARTY,IN,1,H4IN01012
CRAWFORD JACK F,House,DEMOCRATIC PARTY,IN,1,H4IN01020
HARRIGAN A F PETE,House,REPUBLICAN PARTY,IN,1,H4IN01061
GRENCHIK JOSEPH BENEDICT,House,REPUBLICAN PARTY,IN,1,H4IN01103
WILLIS JAMES ELLIOTT,House,LIBERTARIAN PARTY,IN,1,H4IN01111
LARSON JOHN,House,REPUBLICAN PARTY,IN,1,H4IN01129
NIEMEYER RANDELL C.,House,REPUBLICAN PARTY,IN,1,H4IN01210
DEVORE ANN G,House,REPUBLICAN PARTY,IN,2,H4IN02036
TRAYLOR EDDIE KAYE,House,REPUBLICAN PARTY,IN,2,H4IN02044
MCINTOSH DAVID MARTIN,House,REPUBLICAN PARTY,IN,5,H4IN02051
HOGSETT JOSEPH H,House,DEMOCRATIC PARTY,IN,2,H4IN02069
DONNELLY JOSEPH SIMON MR.,House,DEMOCRATIC PARTY,IN,2,H4IN02101
ZIRKLE ANTHONY FREDRICK,House,REPUBLICAN PARTY,IN,2,H4IN02119
BOCK JOSEPH,House,DEMOCRATIC PARTY,IN,2,H4IN02135
BARNES MICHAEL PHILLIP,House,DEMOCRATIC PARTY,IN,3,H4IN03018
BARRETT DAVID MARSHALL,House,DEMOCRATIC PARTY,IN,3,H4IN03026
BURKETT RICHARD,House,REPUBLICAN PARTY,IN,3,H4IN03059
MANGOLD MATTHEW EDWARD,House,REPUBLICAN PARTY,IN,3,H4IN03067
FELKER MICHAEL,House,REPUBLICAN PARTY,IN,3,H4IN03133
ZAY ANDREW R.,House,REPUBLICAN PARTY,IN,3,H4IN03141
DAVIS WENDY,House,REPUBLICAN PARTY,IN,3,H4IN03158
KENWORTHY JON MICHAEL MR.,House,REPUBLICAN PARTY,IN,3,H4IN03166
STUTZMAN MARLIN,House,REPUBLICAN PARTY,IN,3,H4IN03174
GOSS PHIL,House,DEMOCRATIC PARTY,IN,3,H4IN03182
WHALEN ERIC,House,REPUBLICAN PARTY,IN,3,H4IN03190
BUCHER GRANT MR.,House,REPUBLICAN PARTY,IN,3,H4IN03208
SMITH TIM,House,REPUBLICAN PARTY,IN,3,H4IN03232
ADOLPH KILEY DR.,House,DEMOCRATIC PARTY,IN,3,H4IN03240
BARNARD MICHAEL H,House,DEMOCRATIC PARTY,IN,4,H4IN04016
HIGHLEN MIKE,House,DEMOCRATIC PARTY,IN,4,H4IN04024
RIPLEY MICHAEL ALLEN,House,REPUBLICAN PARTY,IN,4,H4IN04065
LOOMIS J MICHAEL,House,REPUBLICAN PARTY,IN,4,H4IN04073
SEDLMEYER ROBERT LOUIS,House,REPUBLICAN PARTY,IN,4,H4IN04081
SOUDER MARK E,House,REPUBLICAN PARTY,IN,3,H4IN04099
HARDY DENNIS,House,REPUBLICAN PARTY,IN,4,H4IN04115
PAASCH  BRIAN MR.,House,REPUBLICAN PARTY,IN,4,H4IN04123
WALLACE ROBERT LYNN,House,INDEPENDENT,IN,4,H4IN04131
SANDERS DAVID AURAM,House,DEMOCRATIC PARTY,IN,4,H4IN04149
DALE JOHN,House,DEMOCRATIC PARTY,IN,4,H4IN04172
GIRN RIMPI KAUR,House,DEMOCRATIC PARTY,IN,94,H4IN04230
HAGGARD CRAIG,House,REPUBLICAN PARTY,IN,4,H4IN04248
BEATTY J D,House,DEMOCRATIC PARTY,IN,5,H4IN05047
STOCKDALE DAVID S,House,REPUBLICAN PARTY,IN,5,H4IN05104
DAVIDSON ALLEN RAY,House,REPUBLICAN PARTY,IN,5,H4IN05112
DENNEY SHAWN ALLEN,House,DEMOCRATIC PARTY,IN,5,H4IN05120
FORD DAVID WILLIAM,House,DEMOCRATIC PARTY,IN,5,H4IN05138
KROM JOHN P,House,LIBERTARIAN PARTY,IN,5,H4IN05153
GOODRICH CHARLES,House,REPUBLICAN PARTY,IN,5,H4IN05179
CUMMINGS RODNEY JUSTIN MR,House,REPUBLICAN PARTY,IN,5,H4IN05187
MAHANT SIDDHARTH,House,REPUBLICAN PARTY,IN,6,H4IN05195
CHINTHALA BALARAJU RAJU,House,REPUBLICAN PARTY,IN,5,H4IN05203
HURT MARK,House,REPUBLICAN PARTY,IN,5,H4IN05211
POWELL LONNIE DALE,House,REPUBLICAN PARTY,IN,5,H4IN05229
ENGLING MAX,House,REPUBLICAN PARTY,IN,5,H4IN05237
CAMPBELL HOWARD O,House,DEMOCRATIC PARTY,IN,6,H4IN06011
SMITH ARTHUR EUGENE,House,DEMOCRATIC PARTY,IN,7,H4IN07019
HARMLESS MICHAEL M,House,DEMOCRATIC PARTY,IN,7,H4IN07050
POOL DAN LEE,House,REPUBLICAN PARTY,IN,7,H4IN07068
THOMPSON RICHARD A,House,REPUBLICAN PARTY,IN,7,H4IN07076
CRODDY ROBERT D,House,REPUBLICAN PARTY,IN,7,H4IN07100
CAMPBELL BARRY M,House,LIBERTARIAN PARTY,IN,7,H4IN07126
FECTEAU BRIAN,House,REPUBLICAN PARTY,IN,7,H4IN07134
SMITH GORDON E,House,REPUBLICAN PARTY,IN,7,H4IN07142
BENDER JOHN W,House,REPUBLICAN PARTY,IN,8,H4IN08017
LUDWYCK JIM,House,REPUBLICAN PARTY,IN,8,H4IN08025
"WAGGONER DAVID L ""DAVE""",House,REPUBLICAN PARTY,IN,8,H4IN08041
DEVINE JEFFREY LEE,House,REPUBLICAN PARTY,IN,8,H4IN08074
SHIVELY LESLIE CURTIS MR,House,REPUBLICAN PARTY,IN,8,H4IN08082
HUBLER HOWARD FRANKLIN,House,REPUBLICAN PARTY,IN,8,H4IN08090
